id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
S1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1
S2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
S3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
S4,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
S5,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S6,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
S7,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
S8,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
S9,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1
S10,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
S11,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
S12,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
S13,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
S14,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S15,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1
S16,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
S17,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
S18,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
S19,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
S20,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
S21,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
S22,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1
S23,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
S24,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
S25,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0
S26,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0
S27,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
S28,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S29,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
S30,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
S31,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
S32,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0
S33,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
S34,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
S35,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1
S36,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
S37,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
S38,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
S39,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1
S40,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1
S41,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
S42,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
S43,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
